[2026-04-12 15:13:48,020][Train_Process.py] start training!
[2026-04-12 15:22:36,588][Train_Process.py] Epoch:[1/300]  lr=0.001000  loss=0.55651  dice_e=0.0030 max_dice=0.0000
[2026-04-12 15:30:55,890][Train_Process.py] Epoch:[2/300]  lr=0.001000  loss=0.50985  dice_e=0.0032 max_dice=0.0000
[2026-04-12 15:38:45,087][Train_Process.py] Epoch:[3/300]  lr=0.001000  loss=0.48899  dice_e=0.0029 max_dice=0.0000
[2026-04-12 15:51:00,823][Train_Process.py] Epoch:[4/300]  lr=0.001000  loss=0.44904  dice_e=0.0032 max_dice=0.0000
[2026-04-12 15:58:46,848][Train_Process.py] Epoch:[5/300]  lr=0.001000  loss=0.33064  dice_e=0.0062 max_dice=0.0000
[2026-04-12 16:07:00,925][Train_Process.py] Epoch:[6/300]  lr=0.001000  loss=0.10150  dice_e=0.0079 max_dice=0.0000
[2026-04-12 16:15:07,170][Train_Process.py] Epoch:[7/300]  lr=0.001000  loss=0.45790  dice_e=0.0186 max_dice=0.0000
[2026-04-12 16:23:17,667][Train_Process.py] Epoch:[8/300]  lr=0.001000  loss=0.49790  dice_e=0.0020 max_dice=0.0000
[2026-04-12 16:31:15,528][Train_Process.py] Epoch:[9/300]  lr=0.001000  loss=0.51858  dice_e=0.0019 max_dice=0.0000
[2026-04-12 16:39:02,688][Train_Process.py] Epoch:[10/300]  lr=0.001000  loss=0.50746  dice_e=0.0011 max_dice=0.0000
[2026-04-12 16:47:08,858][Train_Process.py] Epoch:[11/300]  lr=0.001000  loss=0.49678  dice_e=0.0003 max_dice=0.0000
[2026-04-12 16:57:36,408][Train_Process.py] Epoch:[12/300]  lr=0.001000  loss=0.48913  dice_e=0.0005 max_dice=0.0000
[2026-04-12 17:10:14,600][Train_Process.py] Epoch:[13/300]  lr=0.001000  loss=0.41724  dice_e=0.0078 max_dice=0.0000
[2026-04-12 17:18:28,338][Train_Process.py] Epoch:[14/300]  lr=0.001000  loss=-0.49457  dice_e=0.0383 max_dice=0.0000
[2026-04-12 17:30:27,843][Train_Process.py] Epoch:[15/300]  lr=0.001000  loss=-6.27783  dice_e=0.0423 max_dice=0.0000
[2026-04-12 17:38:29,923][Train_Process.py] Epoch:[16/300]  lr=0.001000  loss=0.43041  dice_e=0.0061 max_dice=0.0000
[2026-04-12 17:46:47,323][Train_Process.py] Epoch:[17/300]  lr=0.001000  loss=0.43080  dice_e=0.0055 max_dice=0.0000
[2026-04-12 17:54:39,287][Train_Process.py] Epoch:[18/300]  lr=0.001000  loss=0.42022  dice_e=0.0062 max_dice=0.0000
[2026-04-12 18:04:04,890][Train_Process.py] Epoch:[19/300]  lr=0.001000  loss=0.45962  dice_e=0.0213 max_dice=0.0000
[2026-04-12 18:12:25,504][Train_Process.py] Epoch:[20/300]  lr=0.001000  loss=-0.07728  dice_e=0.0444 max_dice=0.0000
[2026-04-12 18:23:26,188][Train_Process.py] Epoch:[21/300]  lr=0.001000  loss=0.33195  dice_e=0.0143 max_dice=0.0000
[2026-04-12 18:32:17,629][Train_Process.py] Epoch:[22/300]  lr=0.001000  loss=0.03325  dice_e=0.0609 max_dice=0.0000
[2026-04-12 18:40:20,708][Train_Process.py] Epoch:[23/300]  lr=0.001000  loss=0.98937  dice_e=0.0991 max_dice=0.0000
[2026-04-12 18:49:18,280][Train_Process.py] Epoch:[24/300]  lr=0.001000  loss=0.74425  dice_e=0.0835 max_dice=0.0000
[2026-04-12 18:58:20,183][Train_Process.py] Epoch:[25/300]  lr=0.001000  loss=0.35224  dice_e=0.0947 max_dice=0.0000
[2026-04-12 19:07:24,001][Train_Process.py] Epoch:[26/300]  lr=0.001000  loss=0.64866  dice_e=0.1018 max_dice=0.0000
[2026-04-12 19:16:10,303][Train_Process.py] Epoch:[27/300]  lr=0.001000  loss=0.75913  dice_e=0.0931 max_dice=0.0000
[2026-04-12 19:24:19,403][Train_Process.py] Epoch:[28/300]  lr=0.001000  loss=0.58196  dice_e=0.0952 max_dice=0.0000
[2026-04-12 19:32:34,015][Train_Process.py] Epoch:[29/300]  lr=0.001000  loss=1.12922  dice_e=0.0914 max_dice=0.0000
[2026-04-12 19:41:27,244][Train_Process.py] Epoch:[30/300]  lr=0.001000  loss=0.71965  dice_e=0.1486 max_dice=0.0000
[2026-04-12 19:49:57,002][Train_Process.py] Epoch:[31/300]  lr=0.001000  loss=0.55752  dice_e=0.1582 max_dice=0.0000
[2026-04-12 19:59:03,576][Train_Process.py] Epoch:[32/300]  lr=0.001000  loss=0.68309  dice_e=0.1242 max_dice=0.0000
[2026-04-12 20:07:51,487][Train_Process.py] Epoch:[33/300]  lr=0.001000  loss=0.52736  dice_e=0.1121 max_dice=0.0000
[2026-04-12 20:18:04,043][Train_Process.py] Epoch:[34/300]  lr=0.001000  loss=0.24116  dice_e=0.0731 max_dice=0.0000
[2026-04-12 20:28:33,935][Train_Process.py] Epoch:[35/300]  lr=0.001000  loss=0.54296  dice_e=0.1225 max_dice=0.0000
[2026-04-12 20:38:09,223][Train_Process.py] Epoch:[36/300]  lr=0.001000  loss=0.66861  dice_e=0.1152 max_dice=0.0000
[2026-04-12 20:46:49,324][Train_Process.py] Epoch:[37/300]  lr=0.001000  loss=0.69143  dice_e=0.0823 max_dice=0.0000
[2026-04-12 20:55:38,576][Train_Process.py] Epoch:[38/300]  lr=0.001000  loss=0.52483  dice_e=0.0524 max_dice=0.0000
[2026-04-12 21:04:13,737][Train_Process.py] Epoch:[39/300]  lr=0.001000  loss=0.37454  dice_e=0.0334 max_dice=0.0000
[2026-04-12 21:13:01,001][Train_Process.py] Epoch:[40/300]  lr=0.001000  loss=0.45960  dice_e=0.0629 max_dice=0.0000
[2026-04-12 21:22:03,672][Train_Process.py] Epoch:[41/300]  lr=0.001000  loss=0.55204  dice_e=0.0270 max_dice=0.0000
[2026-04-12 21:30:38,951][Train_Process.py] Epoch:[42/300]  lr=0.000800  loss=0.65761  dice_e=0.0485 max_dice=0.0000
[2026-04-12 21:39:10,448][Train_Process.py] Epoch:[43/300]  lr=0.000800  loss=0.66479  dice_e=0.0254 max_dice=0.0000
[2026-04-12 21:47:37,425][Train_Process.py] Epoch:[44/300]  lr=0.000800  loss=0.69629  dice_e=0.0606 max_dice=0.0000
[2026-04-12 21:56:37,804][Train_Process.py] Epoch:[45/300]  lr=0.000800  loss=0.64096  dice_e=0.0926 max_dice=0.0000
[2026-04-12 22:05:07,293][Train_Process.py] Epoch:[46/300]  lr=0.000800  loss=0.50842  dice_e=0.0934 max_dice=0.0000
[2026-04-12 22:13:08,823][Train_Process.py] Epoch:[47/300]  lr=0.000800  loss=0.60775  dice_e=0.0386 max_dice=0.0000
[2026-04-12 22:21:15,495][Train_Process.py] Epoch:[48/300]  lr=0.000800  loss=0.51980  dice_e=0.0735 max_dice=0.0000
[2026-04-12 22:29:49,503][Train_Process.py] Epoch:[49/300]  lr=0.000800  loss=0.48615  dice_e=0.0707 max_dice=0.0000
[2026-04-12 22:37:50,520][Train_Process.py] Epoch:[50/300]  lr=0.000800  loss=0.81923  dice_e=0.0345 max_dice=0.0000
[2026-04-12 22:46:29,898][Train_Process.py] Epoch:[51/300]  lr=0.000800  loss=0.52277  dice_e=0.0275 max_dice=0.0000
[2026-04-12 22:55:25,910][Train_Process.py] Epoch:[52/300]  lr=0.000800  loss=0.48762  dice_e=0.0237 max_dice=0.0000
[2026-04-12 23:04:27,304][Train_Process.py] Epoch:[53/300]  lr=0.000640  loss=0.64195  dice_e=0.0355 max_dice=0.0000
[2026-04-12 23:13:13,430][Train_Process.py] Epoch:[54/300]  lr=0.000640  loss=1.39087  dice_e=0.0314 max_dice=0.0000
[2026-04-12 23:22:26,199][Train_Process.py] Epoch:[55/300]  lr=0.000640  loss=0.54532  dice_e=0.0191 max_dice=0.0000
[2026-04-12 23:31:31,417][Train_Process.py] Epoch:[56/300]  lr=0.000640  loss=0.70908  dice_e=0.0192 max_dice=0.0000
[2026-04-12 23:39:57,330][Train_Process.py] Epoch:[57/300]  lr=0.000640  loss=0.68470  dice_e=0.0337 max_dice=0.0000
[2026-04-12 23:47:46,192][Train_Process.py] Epoch:[58/300]  lr=0.000640  loss=0.86586  dice_e=0.0333 max_dice=0.0000
[2026-04-12 23:55:37,877][Train_Process.py] Epoch:[59/300]  lr=0.000640  loss=0.82101  dice_e=0.0422 max_dice=0.0000
[2026-04-13 00:03:44,388][Train_Process.py] Epoch:[60/300]  lr=0.000640  loss=0.59968  dice_e=0.0297 max_dice=0.0000
[2026-04-13 00:11:42,154][Train_Process.py] Epoch:[61/300]  lr=0.000640  loss=0.02789  dice_e=0.0381 max_dice=0.0000
[2026-04-13 00:19:01,078][Train_Process.py] Epoch:[62/300]  lr=0.000640  loss=0.67703  dice_e=0.0253 max_dice=0.0000
[2026-04-13 00:26:43,178][Train_Process.py] Epoch:[63/300]  lr=0.000640  loss=0.60126  dice_e=0.0297 max_dice=0.0000
[2026-04-13 00:34:24,687][Train_Process.py] Epoch:[64/300]  lr=0.000512  loss=0.60061  dice_e=0.0467 max_dice=0.0000
[2026-04-13 00:42:29,693][Train_Process.py] Epoch:[65/300]  lr=0.000512  loss=0.82037  dice_e=0.0497 max_dice=0.0000
[2026-04-13 00:50:58,021][Train_Process.py] Epoch:[66/300]  lr=0.000512  loss=0.82840  dice_e=0.0606 max_dice=0.0000
[2026-04-13 01:00:08,420][Train_Process.py] Epoch:[67/300]  lr=0.000512  loss=0.52145  dice_e=0.0492 max_dice=0.0000
[2026-04-13 01:08:15,439][Train_Process.py] Epoch:[68/300]  lr=0.000512  loss=0.47531  dice_e=0.0386 max_dice=0.0000
[2026-04-13 01:16:44,431][Train_Process.py] Epoch:[69/300]  lr=0.000512  loss=0.24274  dice_e=0.0469 max_dice=0.0000
[2026-04-13 01:26:49,707][Train_Process.py] Epoch:[70/300]  lr=0.000512  loss=0.63032  dice_e=0.0362 max_dice=0.0000
[2026-04-13 01:37:59,199][Train_Process.py] Epoch:[71/300]  lr=0.000512  loss=0.65733  dice_e=0.0475 max_dice=0.0000
[2026-04-13 01:47:41,229][Train_Process.py] Epoch:[72/300]  lr=0.000512  loss=0.46754  dice_e=0.0354 max_dice=0.0000
[2026-04-13 01:55:44,382][Train_Process.py] Epoch:[73/300]  lr=0.000512  loss=0.86266  dice_e=0.0365 max_dice=0.0000
[2026-04-13 02:03:26,594][Train_Process.py] Epoch:[74/300]  lr=0.000512  loss=0.68151  dice_e=0.0489 max_dice=0.0000
[2026-04-13 02:11:53,289][Train_Process.py] Epoch:[75/300]  lr=0.000410  loss=0.20867  dice_e=0.0343 max_dice=0.0000
[2026-04-13 02:19:56,709][Train_Process.py] Epoch:[76/300]  lr=0.000410  loss=0.67357  dice_e=0.0381 max_dice=0.0000
[2026-04-13 02:27:43,395][Train_Process.py] Epoch:[77/300]  lr=0.000410  loss=0.72244  dice_e=0.0426 max_dice=0.0000
[2026-04-13 02:36:36,422][Train_Process.py] Epoch:[78/300]  lr=0.000410  loss=-0.11996  dice_e=0.0453 max_dice=0.0000
[2026-04-13 02:44:59,629][Train_Process.py] Epoch:[79/300]  lr=0.000410  loss=0.93514  dice_e=0.0436 max_dice=0.0000
[2026-04-13 02:53:54,900][Train_Process.py] Epoch:[80/300]  lr=0.000410  loss=1.02069  dice_e=0.0492 max_dice=0.0000
[2026-04-13 03:02:27,618][Train_Process.py] Epoch:[81/300]  lr=0.000410  loss=0.89086  dice_e=0.0410 max_dice=0.0000
[2026-04-13 03:10:36,864][Train_Process.py] Epoch:[82/300]  lr=0.000410  loss=1.01457  dice_e=0.0468 max_dice=0.0000
[2026-04-13 03:18:15,077][Train_Process.py] Epoch:[83/300]  lr=0.000410  loss=0.60524  dice_e=0.0447 max_dice=0.0000
[2026-04-13 03:26:25,900][Train_Process.py] Epoch:[84/300]  lr=0.000410  loss=-0.02770  dice_e=0.0406 max_dice=0.0000
[2026-04-13 03:34:53,524][Train_Process.py] Epoch:[85/300]  lr=0.000410  loss=0.62611  dice_e=0.0448 max_dice=0.0000
[2026-04-13 03:43:12,315][Train_Process.py] Epoch:[86/300]  lr=0.000328  loss=0.75287  dice_e=0.0420 max_dice=0.0000
[2026-04-13 03:51:43,695][Train_Process.py] Epoch:[87/300]  lr=0.000328  loss=0.55486  dice_e=0.0412 max_dice=0.0000
[2026-04-13 04:00:19,106][Train_Process.py] Epoch:[88/300]  lr=0.000328  loss=0.54260  dice_e=0.0311 max_dice=0.0000
[2026-04-13 04:09:16,657][Train_Process.py] Epoch:[89/300]  lr=0.000328  loss=0.64551  dice_e=0.0336 max_dice=0.0000
[2026-04-13 04:17:49,043][Train_Process.py] Epoch:[90/300]  lr=0.000328  loss=0.74224  dice_e=0.0407 max_dice=0.0000
[2026-04-13 04:26:20,431][Train_Process.py] Epoch:[91/300]  lr=0.000328  loss=0.51308  dice_e=0.0356 max_dice=0.0000
[2026-04-13 04:34:10,318][Train_Process.py] Epoch:[92/300]  lr=0.000328  loss=0.62486  dice_e=0.0349 max_dice=0.0000
[2026-04-13 04:42:33,708][Train_Process.py] Epoch:[93/300]  lr=0.000328  loss=0.64390  dice_e=0.0299 max_dice=0.0000
[2026-04-13 04:50:49,034][Train_Process.py] Epoch:[94/300]  lr=0.000328  loss=0.21254  dice_e=0.0383 max_dice=0.0000
[2026-04-13 04:58:56,634][Train_Process.py] Epoch:[95/300]  lr=0.000328  loss=0.09791  dice_e=0.0336 max_dice=0.0000
[2026-04-13 05:07:27,655][Train_Process.py] Epoch:[96/300]  lr=0.000328  loss=0.61473  dice_e=0.0335 max_dice=0.0000
[2026-04-13 05:16:03,141][Train_Process.py] Epoch:[97/300]  lr=0.000262  loss=1.36904  dice_e=0.0342 max_dice=0.0000
[2026-04-13 05:25:25,668][Train_Process.py] Epoch:[98/300]  lr=0.000262  loss=0.58711  dice_e=0.0421 max_dice=0.0000
[2026-04-13 05:34:17,152][Train_Process.py] Epoch:[99/300]  lr=0.000262  loss=1.01376  dice_e=0.0401 max_dice=0.0000
[2026-04-13 05:43:42,986][Train_Process.py] Epoch:[100/300]  lr=0.000262  loss=0.63028  dice_e=0.0361 max_dice=0.0000
[2026-04-13 05:52:32,057][Train_Process.py] Epoch:[101/300]  lr=0.000262  loss=0.88351  dice_e=0.0318 max_dice=0.0000
[2026-04-13 06:02:09,460][Train_Process.py] Epoch:[102/300]  lr=0.000262  loss=0.73871  dice_e=0.0298 max_dice=0.0000
[2026-04-13 06:11:42,818][Train_Process.py] Epoch:[103/300]  lr=0.000262  loss=0.66456  dice_e=0.0350 max_dice=0.0000
[2026-04-13 06:20:54,532][Train_Process.py] Epoch:[104/300]  lr=0.000262  loss=0.65641  dice_e=0.0423 max_dice=0.0000
