[2026-04-14 09:10:56,890][Train_Process.py] start training!
[2026-04-14 09:31:06,958][Train_Process.py] P135_lower_img.nii.gz dice=0.1768
[2026-04-14 09:31:09,473][Train_Process.py] P136_lower_img.nii.gz dice=0.1536
[2026-04-14 09:31:15,535][Train_Process.py] P137_lower_img.nii.gz dice=0.2270
[2026-04-14 09:31:19,004][Train_Process.py] P138_lower_img.nii.gz dice=0.3170
[2026-04-14 09:31:24,475][Train_Process.py] P139_lower_img.nii.gz dice=0.1831
[2026-04-14 09:31:29,555][Train_Process.py] P140_lower_img.nii.gz dice=0.2375
[2026-04-14 09:31:40,058][Train_Process.py] P141_lower_img.nii.gz dice=0.2604
[2026-04-14 09:31:44,167][Train_Process.py] P142_lower_img.nii.gz dice=0.2675
[2026-04-14 09:31:49,157][Train_Process.py] P143_lower_img.nii.gz dice=0.2534
[2026-04-14 09:31:55,292][Train_Process.py] P144_lower_img.nii.gz dice=0.3124
[2026-04-14 09:32:05,247][Train_Process.py] P145_lower_img.nii.gz dice=0.2798
[2026-04-14 09:32:15,188][Train_Process.py] P146_lower_img.nii.gz dice=0.2944
[2026-04-14 09:32:17,891][Train_Process.py] P147_lower_img.nii.gz dice=0.1592
[2026-04-14 09:32:28,501][Train_Process.py] P148_lower_img.nii.gz dice=0.2927
[2026-04-14 09:32:33,383][Train_Process.py] P149_lower_img.nii.gz dice=0.3014
[2026-04-14 09:32:39,004][Train_Process.py] P150_lower_img.nii.gz dice=0.3210
[2026-04-14 09:32:44,425][Train_Process.py] P151_lower_img.nii.gz dice=0.2642
[2026-04-14 09:32:50,064][Train_Process.py] P152_lower_img.nii.gz dice=0.2807
[2026-04-14 09:32:52,653][Train_Process.py] P153_lower_img.nii.gz dice=0.2344
[2026-04-14 09:32:55,329][Train_Process.py] P154_lower_img.nii.gz dice=0.1810
[2026-04-14 09:33:04,781][Train_Process.py] P155_lower_img.nii.gz dice=0.3051
[2026-04-14 09:33:14,430][Train_Process.py] P156_lower_img.nii.gz dice=0.3731
[2026-04-14 09:33:25,748][Train_Process.py] P157_lower_img.nii.gz dice=0.2732
[2026-04-14 09:33:29,752][Train_Process.py] P158_lower_img.nii.gz dice=0.2340
[2026-04-14 09:33:32,570][Train_Process.py] P159_lower_img.nii.gz dice=0.1371
[2026-04-14 09:33:38,228][Train_Process.py] P160_lower_img.nii.gz dice=0.3040
[2026-04-14 09:33:43,328][Train_Process.py] P161_lower_img.nii.gz dice=0.3042
[2026-04-14 09:33:48,433][Train_Process.py] P162_lower_img.nii.gz dice=0.2697
[2026-04-14 09:33:53,877][Train_Process.py] P163_lower_img.nii.gz dice=0.2892
[2026-04-14 09:33:59,109][Train_Process.py] P164_lower_img.nii.gz dice=0.2962
[2026-04-14 09:34:03,705][Train_Process.py] P165_lower_img.nii.gz dice=0.2998
[2026-04-14 09:34:13,501][Train_Process.py] P166_lower_img.nii.gz dice=0.3936
[2026-04-14 09:34:18,882][Train_Process.py] P167_lower_img.nii.gz dice=0.2734
[2026-04-14 09:34:26,254][Train_Process.py] P168_lower_img.nii.gz dice=0.3254
[2026-04-14 09:34:31,087][Train_Process.py] P169_lower_img.nii.gz dice=0.3115
[2026-04-14 09:34:36,827][Train_Process.py] P170_lower_img.nii.gz dice=0.1808
[2026-04-14 09:34:39,359][Train_Process.py] P171_lower_img.nii.gz dice=0.2566
[2026-04-14 09:34:45,000][Train_Process.py] P172_lower_img.nii.gz dice=0.2886
[2026-04-14 09:34:45,084][Train_Process.py] Epoch:[60/150]  lr=0.000100  loss=0.60965  dice_e=0.5124 max_dice=0.2661
[2026-04-14 09:40:07,725][Train_Process.py] Epoch:[61/150]  lr=0.000100  loss=0.58974  dice_e=0.5424 max_dice=0.2661
[2026-04-14 09:45:42,011][Train_Process.py] Epoch:[62/150]  lr=0.000100  loss=0.58921  dice_e=0.5216 max_dice=0.2661
[2026-04-14 09:51:10,000][Train_Process.py] Epoch:[63/150]  lr=0.000100  loss=0.57095  dice_e=0.5301 max_dice=0.2661
[2026-04-14 09:56:28,816][Train_Process.py] Epoch:[64/150]  lr=0.000100  loss=0.54376  dice_e=0.5526 max_dice=0.2661
[2026-04-14 10:01:50,663][Train_Process.py] Epoch:[65/150]  lr=0.000100  loss=0.55985  dice_e=0.5368 max_dice=0.2661
[2026-04-14 10:07:11,494][Train_Process.py] Epoch:[66/150]  lr=0.000100  loss=0.57141  dice_e=0.5169 max_dice=0.2661
[2026-04-14 10:12:29,342][Train_Process.py] Epoch:[67/150]  lr=0.000100  loss=0.56761  dice_e=0.5186 max_dice=0.2661
[2026-04-14 10:17:49,651][Train_Process.py] Epoch:[68/150]  lr=0.000100  loss=0.51531  dice_e=0.5705 max_dice=0.2661
[2026-04-14 10:23:03,549][Train_Process.py] Epoch:[69/150]  lr=0.000100  loss=0.52513  dice_e=0.5701 max_dice=0.2661
[2026-04-14 10:42:50,522][Train_Process.py] P135_lower_img.nii.gz dice=0.3179
[2026-04-14 10:42:53,038][Train_Process.py] P136_lower_img.nii.gz dice=0.2911
[2026-04-14 10:42:59,059][Train_Process.py] P137_lower_img.nii.gz dice=0.3985
[2026-04-14 10:43:02,550][Train_Process.py] P138_lower_img.nii.gz dice=0.4885
[2026-04-14 10:43:07,947][Train_Process.py] P139_lower_img.nii.gz dice=0.3396
[2026-04-14 10:43:13,155][Train_Process.py] P140_lower_img.nii.gz dice=0.4142
[2026-04-14 10:43:23,930][Train_Process.py] P141_lower_img.nii.gz dice=0.4138
[2026-04-14 10:43:28,234][Train_Process.py] P142_lower_img.nii.gz dice=0.4326
[2026-04-14 10:43:33,274][Train_Process.py] P143_lower_img.nii.gz dice=0.4411
[2026-04-14 10:43:39,514][Train_Process.py] P144_lower_img.nii.gz dice=0.5105
[2026-04-14 10:43:49,497][Train_Process.py] P145_lower_img.nii.gz dice=0.4713
[2026-04-14 10:43:59,339][Train_Process.py] P146_lower_img.nii.gz dice=0.4680
[2026-04-14 10:44:02,056][Train_Process.py] P147_lower_img.nii.gz dice=0.2645
[2026-04-14 10:44:12,687][Train_Process.py] P148_lower_img.nii.gz dice=0.4676
[2026-04-14 10:44:17,554][Train_Process.py] P149_lower_img.nii.gz dice=0.4610
[2026-04-14 10:44:23,142][Train_Process.py] P150_lower_img.nii.gz dice=0.5279
[2026-04-14 10:44:28,437][Train_Process.py] P151_lower_img.nii.gz dice=0.4122
[2026-04-14 10:44:34,084][Train_Process.py] P152_lower_img.nii.gz dice=0.4934
[2026-04-14 10:44:36,625][Train_Process.py] P153_lower_img.nii.gz dice=0.3753
[2026-04-14 10:44:39,256][Train_Process.py] P154_lower_img.nii.gz dice=0.3197
[2026-04-14 10:44:48,555][Train_Process.py] P155_lower_img.nii.gz dice=0.4906
[2026-04-14 10:44:58,053][Train_Process.py] P156_lower_img.nii.gz dice=0.5469
[2026-04-14 10:45:09,331][Train_Process.py] P157_lower_img.nii.gz dice=0.4366
[2026-04-14 10:45:13,333][Train_Process.py] P158_lower_img.nii.gz dice=0.4247
[2026-04-14 10:45:16,115][Train_Process.py] P159_lower_img.nii.gz dice=0.2681
[2026-04-14 10:45:21,694][Train_Process.py] P160_lower_img.nii.gz dice=0.4922
[2026-04-14 10:45:26,686][Train_Process.py] P161_lower_img.nii.gz dice=0.4929
[2026-04-14 10:45:31,758][Train_Process.py] P162_lower_img.nii.gz dice=0.4505
[2026-04-14 10:45:37,118][Train_Process.py] P163_lower_img.nii.gz dice=0.4914
[2026-04-14 10:45:42,268][Train_Process.py] P164_lower_img.nii.gz dice=0.4810
[2026-04-14 10:45:46,773][Train_Process.py] P165_lower_img.nii.gz dice=0.4547
[2026-04-14 10:45:56,506][Train_Process.py] P166_lower_img.nii.gz dice=0.5740
[2026-04-14 10:46:01,844][Train_Process.py] P167_lower_img.nii.gz dice=0.4735
[2026-04-14 10:46:08,961][Train_Process.py] P168_lower_img.nii.gz dice=0.5090
[2026-04-14 10:46:13,718][Train_Process.py] P169_lower_img.nii.gz dice=0.4887
[2026-04-14 10:46:19,330][Train_Process.py] P170_lower_img.nii.gz dice=0.3477
[2026-04-14 10:46:21,808][Train_Process.py] P171_lower_img.nii.gz dice=0.4182
[2026-04-14 10:46:27,352][Train_Process.py] P172_lower_img.nii.gz dice=0.4640
[2026-04-14 10:46:27,434][Train_Process.py] Epoch:[70/150]  lr=0.000100  loss=0.49146  dice_e=0.5824 max_dice=0.4372
[2026-04-14 10:52:00,196][Train_Process.py] Epoch:[71/150]  lr=0.000100  loss=0.52617  dice_e=0.5462 max_dice=0.4372
[2026-04-14 10:57:15,455][Train_Process.py] Epoch:[72/150]  lr=0.000100  loss=0.55813  dice_e=0.5204 max_dice=0.4372
[2026-04-14 11:02:50,646][Train_Process.py] Epoch:[73/150]  lr=0.000100  loss=0.49913  dice_e=0.5646 max_dice=0.4372
[2026-04-14 11:08:03,923][Train_Process.py] Epoch:[74/150]  lr=0.000100  loss=0.49998  dice_e=0.5669 max_dice=0.4372
[2026-04-14 11:13:21,950][Train_Process.py] Epoch:[75/150]  lr=0.000100  loss=0.47765  dice_e=0.5882 max_dice=0.4372
[2026-04-14 11:18:49,198][Train_Process.py] Epoch:[76/150]  lr=0.000100  loss=0.51665  dice_e=0.5503 max_dice=0.4372
[2026-04-14 11:24:09,983][Train_Process.py] Epoch:[77/150]  lr=0.000100  loss=0.50066  dice_e=0.5805 max_dice=0.4372
[2026-04-14 11:29:38,333][Train_Process.py] Epoch:[78/150]  lr=0.000100  loss=0.51700  dice_e=0.5382 max_dice=0.4372
[2026-04-14 11:34:46,322][Train_Process.py] Epoch:[79/150]  lr=0.000100  loss=0.45568  dice_e=0.5933 max_dice=0.4372
[2026-04-14 11:54:20,514][Train_Process.py] P135_lower_img.nii.gz dice=0.0646
[2026-04-14 11:54:23,048][Train_Process.py] P136_lower_img.nii.gz dice=0.0543
[2026-04-14 11:54:29,128][Train_Process.py] P137_lower_img.nii.gz dice=0.0647
[2026-04-14 11:54:32,621][Train_Process.py] P138_lower_img.nii.gz dice=0.1418
[2026-04-14 11:54:38,021][Train_Process.py] P139_lower_img.nii.gz dice=0.0551
[2026-04-14 11:54:43,124][Train_Process.py] P140_lower_img.nii.gz dice=0.0752
[2026-04-14 11:54:53,609][Train_Process.py] P141_lower_img.nii.gz dice=0.0847
[2026-04-14 11:54:57,734][Train_Process.py] P142_lower_img.nii.gz dice=0.0879
[2026-04-14 11:55:02,761][Train_Process.py] P143_lower_img.nii.gz dice=0.0847
[2026-04-14 11:55:08,920][Train_Process.py] P144_lower_img.nii.gz dice=0.0986
[2026-04-14 11:55:18,610][Train_Process.py] P145_lower_img.nii.gz dice=0.0826
[2026-04-14 11:55:28,348][Train_Process.py] P146_lower_img.nii.gz dice=0.0822
[2026-04-14 11:55:31,068][Train_Process.py] P147_lower_img.nii.gz dice=0.0638
[2026-04-14 11:55:41,563][Train_Process.py] P148_lower_img.nii.gz dice=0.0930
[2026-04-14 11:55:46,404][Train_Process.py] P149_lower_img.nii.gz dice=0.1030
[2026-04-14 11:55:52,023][Train_Process.py] P150_lower_img.nii.gz dice=0.1469
[2026-04-14 11:55:57,275][Train_Process.py] P151_lower_img.nii.gz dice=0.0902
[2026-04-14 11:56:02,870][Train_Process.py] P152_lower_img.nii.gz dice=0.1030
[2026-04-14 11:56:05,419][Train_Process.py] P153_lower_img.nii.gz dice=0.0772
[2026-04-14 11:56:08,056][Train_Process.py] P154_lower_img.nii.gz dice=0.0589
[2026-04-14 11:56:17,323][Train_Process.py] P155_lower_img.nii.gz dice=0.1004
[2026-04-14 11:56:26,759][Train_Process.py] P156_lower_img.nii.gz dice=0.1223
[2026-04-14 11:56:37,721][Train_Process.py] P157_lower_img.nii.gz dice=0.0762
[2026-04-14 11:56:41,702][Train_Process.py] P158_lower_img.nii.gz dice=0.0862
[2026-04-14 11:56:44,481][Train_Process.py] P159_lower_img.nii.gz dice=0.0361
[2026-04-14 11:56:50,081][Train_Process.py] P160_lower_img.nii.gz dice=0.1029
[2026-04-14 11:56:55,086][Train_Process.py] P161_lower_img.nii.gz dice=0.1140
[2026-04-14 11:57:00,192][Train_Process.py] P162_lower_img.nii.gz dice=0.0923
[2026-04-14 11:57:05,662][Train_Process.py] P163_lower_img.nii.gz dice=0.0964
[2026-04-14 11:57:10,901][Train_Process.py] P164_lower_img.nii.gz dice=0.0947
[2026-04-14 11:57:15,439][Train_Process.py] P165_lower_img.nii.gz dice=0.1150
[2026-04-14 11:57:25,144][Train_Process.py] P166_lower_img.nii.gz dice=0.1253
[2026-04-14 11:57:30,600][Train_Process.py] P167_lower_img.nii.gz dice=0.0849
[2026-04-14 11:57:37,857][Train_Process.py] P168_lower_img.nii.gz dice=0.1121
[2026-04-14 11:57:42,673][Train_Process.py] P169_lower_img.nii.gz dice=0.1104
[2026-04-14 11:57:48,368][Train_Process.py] P170_lower_img.nii.gz dice=0.0613
[2026-04-14 11:57:50,865][Train_Process.py] P171_lower_img.nii.gz dice=0.0960
[2026-04-14 11:57:56,435][Train_Process.py] P172_lower_img.nii.gz dice=0.0891
[2026-04-14 11:57:56,492][Train_Process.py] Epoch:[80/150]  lr=0.000100  loss=0.47628  dice_e=0.5757 max_dice=0.4372
[2026-04-14 12:03:28,654][Train_Process.py] Epoch:[81/150]  lr=0.000100  loss=0.46792  dice_e=0.5801 max_dice=0.4372
[2026-04-14 12:08:54,097][Train_Process.py] Epoch:[82/150]  lr=0.000080  loss=0.47663  dice_e=0.5690 max_dice=0.4372
[2026-04-14 12:14:05,861][Train_Process.py] Epoch:[83/150]  lr=0.000080  loss=0.47713  dice_e=0.5724 max_dice=0.4372
[2026-04-14 12:19:18,044][Train_Process.py] Epoch:[84/150]  lr=0.000080  loss=0.46172  dice_e=0.5837 max_dice=0.4372
[2026-04-14 12:24:48,078][Train_Process.py] Epoch:[85/150]  lr=0.000080  loss=0.45952  dice_e=0.5866 max_dice=0.4372
[2026-04-14 12:30:03,351][Train_Process.py] Epoch:[86/150]  lr=0.000080  loss=0.42716  dice_e=0.6141 max_dice=0.4372
[2026-04-14 12:35:17,998][Train_Process.py] Epoch:[87/150]  lr=0.000080  loss=0.42037  dice_e=0.6219 max_dice=0.4372
[2026-04-14 12:40:34,547][Train_Process.py] Epoch:[88/150]  lr=0.000080  loss=0.43733  dice_e=0.6036 max_dice=0.4372
[2026-04-14 12:45:41,922][Train_Process.py] Epoch:[89/150]  lr=0.000080  loss=0.42837  dice_e=0.6127 max_dice=0.4372
[2026-04-14 13:04:57,654][Train_Process.py] P135_lower_img.nii.gz dice=0.5012
[2026-04-14 13:05:00,182][Train_Process.py] P136_lower_img.nii.gz dice=0.4828
[2026-04-14 13:05:06,223][Train_Process.py] P137_lower_img.nii.gz dice=0.6979
