[2026-04-15 00:05:45,689][Train_Process.py] start training!
[2026-04-15 00:12:36,614][Train_Process.py] Epoch:[1/150]  lr=0.000100  loss=1.50619  dice_e=0.0195 max_dice=0.0000
[2026-04-15 00:19:57,204][Train_Process.py] Epoch:[2/150]  lr=0.000100  loss=1.35943  dice_e=0.0349 max_dice=0.0000
[2026-04-15 00:27:42,172][Train_Process.py] Epoch:[3/150]  lr=0.000100  loss=1.28265  dice_e=0.0290 max_dice=0.0000
[2026-04-15 00:35:15,873][Train_Process.py] Epoch:[4/150]  lr=0.000100  loss=1.23256  dice_e=0.0555 max_dice=0.0000
[2026-04-15 00:42:30,585][Train_Process.py] Epoch:[5/150]  lr=0.000100  loss=1.20064  dice_e=0.0620 max_dice=0.0000
[2026-04-15 00:50:17,841][Train_Process.py] Epoch:[6/150]  lr=0.000100  loss=1.17658  dice_e=0.2171 max_dice=0.0000
[2026-04-15 00:58:50,861][Train_Process.py] Epoch:[7/150]  lr=0.000100  loss=1.16010  dice_e=0.2435 max_dice=0.0000
[2026-04-15 01:07:02,854][Train_Process.py] Epoch:[8/150]  lr=0.000100  loss=1.13905  dice_e=0.2804 max_dice=0.0000
[2026-04-15 01:14:46,366][Train_Process.py] Epoch:[9/150]  lr=0.000100  loss=1.12284  dice_e=0.3148 max_dice=0.0000
[2026-04-15 01:22:13,589][Train_Process.py] Epoch:[10/150]  lr=0.000100  loss=1.10831  dice_e=0.3227 max_dice=0.0000
[2026-04-15 01:29:52,384][Train_Process.py] Epoch:[11/150]  lr=0.000100  loss=1.09628  dice_e=0.3088 max_dice=0.0000
[2026-04-15 01:37:07,141][Train_Process.py] Epoch:[12/150]  lr=0.000100  loss=1.08219  dice_e=0.3572 max_dice=0.0000
[2026-04-15 01:44:45,296][Train_Process.py] Epoch:[13/150]  lr=0.000100  loss=1.07187  dice_e=0.3422 max_dice=0.0000
[2026-04-15 01:52:06,018][Train_Process.py] Epoch:[14/150]  lr=0.000100  loss=1.06342  dice_e=0.3619 max_dice=0.0000
[2026-04-15 01:59:34,976][Train_Process.py] Epoch:[15/150]  lr=0.000100  loss=1.05256  dice_e=0.3370 max_dice=0.0000
[2026-04-15 02:06:59,538][Train_Process.py] Epoch:[16/150]  lr=0.000100  loss=1.04008  dice_e=0.3496 max_dice=0.0000
[2026-04-15 02:14:47,242][Train_Process.py] Epoch:[17/150]  lr=0.000100  loss=1.02661  dice_e=0.3882 max_dice=0.0000
[2026-04-15 02:22:30,060][Train_Process.py] Epoch:[18/150]  lr=0.000100  loss=1.02035  dice_e=0.3850 max_dice=0.0000
[2026-04-15 02:30:13,380][Train_Process.py] Epoch:[19/150]  lr=0.000100  loss=1.01125  dice_e=0.4054 max_dice=0.0000
[2026-04-15 02:37:36,384][Train_Process.py] Epoch:[20/150]  lr=0.000100  loss=0.99522  dice_e=0.4068 max_dice=0.0000
[2026-04-15 02:45:08,247][Train_Process.py] Epoch:[21/150]  lr=0.000100  loss=0.98002  dice_e=0.4481 max_dice=0.0000
[2026-04-15 02:52:41,487][Train_Process.py] Epoch:[22/150]  lr=0.000100  loss=0.98981  dice_e=0.3660 max_dice=0.0000
[2026-04-15 03:00:12,523][Train_Process.py] Epoch:[23/150]  lr=0.000100  loss=0.96971  dice_e=0.4164 max_dice=0.0000
[2026-04-15 03:07:25,206][Train_Process.py] Epoch:[24/150]  lr=0.000100  loss=0.96703  dice_e=0.4152 max_dice=0.0000
[2026-04-15 03:14:59,802][Train_Process.py] Epoch:[25/150]  lr=0.000100  loss=0.94675  dice_e=0.4364 max_dice=0.0000
[2026-04-15 03:22:17,595][Train_Process.py] Epoch:[26/150]  lr=0.000100  loss=0.95121  dice_e=0.3999 max_dice=0.0000
[2026-04-15 03:29:44,932][Train_Process.py] Epoch:[27/150]  lr=0.000100  loss=0.93083  dice_e=0.4267 max_dice=0.0000
[2026-04-15 03:37:24,094][Train_Process.py] Epoch:[28/150]  lr=0.000100  loss=0.92776  dice_e=0.4289 max_dice=0.0000
[2026-04-15 03:45:33,838][Train_Process.py] Epoch:[29/150]  lr=0.000100  loss=0.90963  dice_e=0.4502 max_dice=0.0000
[2026-04-15 03:53:29,434][Train_Process.py] Epoch:[30/150]  lr=0.000100  loss=0.91477  dice_e=0.4561 max_dice=0.0000
[2026-04-15 04:01:41,045][Train_Process.py] Epoch:[31/150]  lr=0.000100  loss=0.90550  dice_e=0.4394 max_dice=0.0000
[2026-04-15 04:09:40,987][Train_Process.py] Epoch:[32/150]  lr=0.000100  loss=0.88454  dice_e=0.4634 max_dice=0.0000
[2026-04-15 04:17:44,692][Train_Process.py] Epoch:[33/150]  lr=0.000100  loss=0.87737  dice_e=0.4481 max_dice=0.0000
[2026-04-15 04:25:26,964][Train_Process.py] Epoch:[34/150]  lr=0.000100  loss=0.85382  dice_e=0.4945 max_dice=0.0000
[2026-04-15 04:32:54,006][Train_Process.py] Epoch:[35/150]  lr=0.000100  loss=0.85075  dice_e=0.4685 max_dice=0.0000
[2026-04-15 04:41:13,930][Train_Process.py] Epoch:[36/150]  lr=0.000100  loss=0.82661  dice_e=0.4936 max_dice=0.0000
[2026-04-15 04:49:15,920][Train_Process.py] Epoch:[37/150]  lr=0.000100  loss=0.80348  dice_e=0.5322 max_dice=0.0000
[2026-04-15 04:57:40,236][Train_Process.py] Epoch:[38/150]  lr=0.000100  loss=0.80017  dice_e=0.4997 max_dice=0.0000
[2026-04-15 05:05:41,610][Train_Process.py] Epoch:[39/150]  lr=0.000100  loss=0.79192  dice_e=0.4877 max_dice=0.0000
[2026-04-15 05:13:46,752][Train_Process.py] Epoch:[40/150]  lr=0.000100  loss=0.76258  dice_e=0.5313 max_dice=0.0000
[2026-04-15 05:21:49,771][Train_Process.py] Epoch:[41/150]  lr=0.000100  loss=0.78681  dice_e=0.4826 max_dice=0.0000
[2026-04-15 05:30:02,558][Train_Process.py] Epoch:[42/150]  lr=0.000100  loss=0.73094  dice_e=0.5425 max_dice=0.0000
[2026-04-15 05:37:38,371][Train_Process.py] Epoch:[43/150]  lr=0.000100  loss=0.72451  dice_e=0.5248 max_dice=0.0000
[2026-04-15 05:45:24,068][Train_Process.py] Epoch:[44/150]  lr=0.000100  loss=0.68233  dice_e=0.5593 max_dice=0.0000
[2026-04-15 05:53:24,390][Train_Process.py] Epoch:[45/150]  lr=0.000100  loss=0.70948  dice_e=0.5278 max_dice=0.0000
[2026-04-15 06:01:55,210][Train_Process.py] Epoch:[46/150]  lr=0.000100  loss=0.66530  dice_e=0.5498 max_dice=0.0000
