[2026-04-15 10:49:27,151][Train_Process.py] start training!
[2026-04-15 11:02:50,827][Train_Process.py] Epoch:[1/150]  lr=0.000100  loss=1.57360  dice_e=0.0165 max_dice=0.0000
[2026-04-15 11:17:24,364][Train_Process.py] Epoch:[2/150]  lr=0.000100  loss=1.45053  dice_e=0.0137 max_dice=0.0000
[2026-04-15 11:31:34,305][Train_Process.py] Epoch:[3/150]  lr=0.000100  loss=1.34492  dice_e=0.0100 max_dice=0.0000
[2026-04-15 11:45:18,888][Train_Process.py] Epoch:[4/150]  lr=0.000100  loss=1.26988  dice_e=0.0026 max_dice=0.0000
[2026-04-15 11:58:31,628][Train_Process.py] Epoch:[5/150]  lr=0.000100  loss=1.22722  dice_e=0.0160 max_dice=0.0000
[2026-04-15 12:11:41,361][Train_Process.py] Epoch:[6/150]  lr=0.000100  loss=1.19933  dice_e=0.0621 max_dice=0.0000
[2026-04-15 12:25:08,844][Train_Process.py] Epoch:[7/150]  lr=0.000100  loss=1.17335  dice_e=0.1826 max_dice=0.0000
[2026-04-15 12:39:11,518][Train_Process.py] Epoch:[8/150]  lr=0.000100  loss=1.15572  dice_e=0.2314 max_dice=0.0000
[2026-04-15 12:58:37,970][Train_Process.py] Epoch:[9/150]  lr=0.000100  loss=1.13671  dice_e=0.2637 max_dice=0.0000
[2026-04-15 13:17:24,382][Train_Process.py] Epoch:[10/150]  lr=0.000100  loss=1.12184  dice_e=0.2898 max_dice=0.0000
[2026-04-15 13:34:45,343][Train_Process.py] Epoch:[11/150]  lr=0.000100  loss=1.10576  dice_e=0.3098 max_dice=0.0000
[2026-04-15 13:48:47,031][Train_Process.py] Epoch:[12/150]  lr=0.000100  loss=1.09025  dice_e=0.2914 max_dice=0.0000
[2026-04-15 14:03:31,305][Train_Process.py] Epoch:[13/150]  lr=0.000100  loss=1.07665  dice_e=0.3712 max_dice=0.0000
[2026-04-15 14:17:13,983][Train_Process.py] Epoch:[14/150]  lr=0.000100  loss=1.06346  dice_e=0.3398 max_dice=0.0000
[2026-04-15 14:31:06,261][Train_Process.py] Epoch:[15/150]  lr=0.000100  loss=1.04794  dice_e=0.3842 max_dice=0.0000
[2026-04-15 14:45:37,071][Train_Process.py] Epoch:[16/150]  lr=0.000100  loss=1.04125  dice_e=0.3365 max_dice=0.0000
[2026-04-15 14:59:45,717][Train_Process.py] Epoch:[17/150]  lr=0.000100  loss=1.02368  dice_e=0.4084 max_dice=0.0000
[2026-04-15 15:13:29,996][Train_Process.py] Epoch:[18/150]  lr=0.000100  loss=1.01534  dice_e=0.4031 max_dice=0.0000
[2026-04-15 15:27:28,824][Train_Process.py] Epoch:[19/150]  lr=0.000100  loss=1.00606  dice_e=0.3970 max_dice=0.0000
[2026-04-15 15:41:13,135][Train_Process.py] Epoch:[20/150]  lr=0.000100  loss=0.99844  dice_e=0.3846 max_dice=0.0000
[2026-04-15 15:55:36,338][Train_Process.py] Epoch:[21/150]  lr=0.000100  loss=0.97813  dice_e=0.4110 max_dice=0.0000
[2026-04-15 16:09:36,350][Train_Process.py] Epoch:[22/150]  lr=0.000100  loss=0.98054  dice_e=0.4016 max_dice=0.0000
[2026-04-15 16:24:44,905][Train_Process.py] Epoch:[23/150]  lr=0.000100  loss=0.95337  dice_e=0.4756 max_dice=0.0000
[2026-04-15 16:39:56,885][Train_Process.py] Epoch:[24/150]  lr=0.000100  loss=0.95677  dice_e=0.4278 max_dice=0.0000
[2026-04-15 16:55:09,291][Train_Process.py] Epoch:[25/150]  lr=0.000100  loss=0.94880  dice_e=0.4227 max_dice=0.0000
[2026-04-15 17:10:50,073][Train_Process.py] Epoch:[26/150]  lr=0.000100  loss=0.92295  dice_e=0.4688 max_dice=0.0000
[2026-04-15 17:27:40,999][Train_Process.py] Epoch:[27/150]  lr=0.000100  loss=0.91829  dice_e=0.4266 max_dice=0.0000
[2026-04-15 17:44:03,150][Train_Process.py] Epoch:[28/150]  lr=0.000100  loss=0.91482  dice_e=0.4262 max_dice=0.0000
[2026-04-15 18:01:10,915][Train_Process.py] Epoch:[29/150]  lr=0.000100  loss=0.89661  dice_e=0.4698 max_dice=0.0000
[2026-04-15 18:17:01,424][Train_Process.py] Epoch:[30/150]  lr=0.000100  loss=0.87243  dice_e=0.4916 max_dice=0.0000
[2026-04-15 18:32:41,951][Train_Process.py] Epoch:[31/150]  lr=0.000100  loss=0.84732  dice_e=0.4943 max_dice=0.0000
[2026-04-15 18:51:22,137][Train_Process.py] Epoch:[32/150]  lr=0.000100  loss=0.85494  dice_e=0.4751 max_dice=0.0000
[2026-04-15 19:11:08,541][Train_Process.py] Epoch:[33/150]  lr=0.000100  loss=0.85549  dice_e=0.4753 max_dice=0.0000
[2026-04-15 19:34:41,541][Train_Process.py] Epoch:[34/150]  lr=0.000100  loss=0.83395  dice_e=0.4617 max_dice=0.0000
[2026-04-15 19:50:15,952][Train_Process.py] Epoch:[35/150]  lr=0.000100  loss=0.80656  dice_e=0.5081 max_dice=0.0000
[2026-04-15 20:04:16,556][Train_Process.py] Epoch:[36/150]  lr=0.000100  loss=0.77021  dice_e=0.5195 max_dice=0.0000
