[2026-04-15 09:03:04,684][Train_Process.py] start training!
[2026-04-15 09:10:29,658][Train_Process.py] Epoch:[1/150]  lr=0.000400  loss=1.73668  dice_e=0.0070 max_dice=0.0000
[2026-04-15 09:18:06,223][Train_Process.py] Epoch:[2/150]  lr=0.000400  loss=1.62117  dice_e=0.0136 max_dice=0.0000
[2026-04-15 09:25:45,561][Train_Process.py] Epoch:[3/150]  lr=0.000400  loss=1.50286  dice_e=0.0139 max_dice=0.0000
[2026-04-15 09:33:27,730][Train_Process.py] Epoch:[4/150]  lr=0.000400  loss=1.33286  dice_e=0.0193 max_dice=0.0000
[2026-04-15 09:41:17,094][Train_Process.py] Epoch:[5/150]  lr=0.000400  loss=1.21151  dice_e=0.0341 max_dice=0.0000
[2026-04-15 09:48:51,816][Train_Process.py] Epoch:[6/150]  lr=0.000400  loss=1.13795  dice_e=0.0706 max_dice=0.0000
[2026-04-15 09:56:57,732][Train_Process.py] Epoch:[7/150]  lr=0.000400  loss=1.09620  dice_e=0.0749 max_dice=0.0000
[2026-04-15 10:04:31,814][Train_Process.py] Epoch:[8/150]  lr=0.000400  loss=1.07093  dice_e=0.1018 max_dice=0.0000
[2026-04-15 10:12:10,155][Train_Process.py] Epoch:[9/150]  lr=0.000400  loss=1.04391  dice_e=0.1164 max_dice=0.0000
[2026-04-15 10:20:06,656][Train_Process.py] Epoch:[10/150]  lr=0.000400  loss=1.01882  dice_e=0.1144 max_dice=0.0000
[2026-04-15 10:27:44,982][Train_Process.py] Epoch:[11/150]  lr=0.000400  loss=1.00982  dice_e=0.1243 max_dice=0.0000
[2026-04-15 10:35:21,066][Train_Process.py] Epoch:[12/150]  lr=0.000400  loss=0.99756  dice_e=0.1258 max_dice=0.0000
[2026-04-15 10:43:07,428][Train_Process.py] Epoch:[13/150]  lr=0.000400  loss=0.98876  dice_e=0.1367 max_dice=0.0000
[2026-04-15 10:50:40,900][Train_Process.py] Epoch:[14/150]  lr=0.000400  loss=0.96178  dice_e=0.1479 max_dice=0.0000
[2026-04-15 10:58:13,312][Train_Process.py] Epoch:[15/150]  lr=0.000400  loss=0.94734  dice_e=0.1639 max_dice=0.0000
[2026-04-15 11:05:40,523][Train_Process.py] Epoch:[16/150]  lr=0.000400  loss=0.93557  dice_e=0.1862 max_dice=0.0000
