[2026-04-16 12:16:41,453][Train_Process.py] start Predict!
[2026-04-16 12:31:51,257][Train_Process.py] P135_lower_img.nii.gz dice=0.0645
[2026-04-16 12:31:54,870][Train_Process.py] P136_lower_img.nii.gz dice=0.0834
[2026-04-16 12:32:03,871][Train_Process.py] P137_lower_img.nii.gz dice=0.4628
[2026-04-16 12:32:08,883][Train_Process.py] P138_lower_img.nii.gz dice=0.3837
[2026-04-16 12:32:16,704][Train_Process.py] P139_lower_img.nii.gz dice=0.4290
[2026-04-16 12:32:24,024][Train_Process.py] P140_lower_img.nii.gz dice=0.4574
[2026-04-16 12:32:39,262][Train_Process.py] P141_lower_img.nii.gz dice=0.4311
[2026-04-16 12:32:45,130][Train_Process.py] P142_lower_img.nii.gz dice=0.4439
[2026-04-16 12:32:52,311][Train_Process.py] P143_lower_img.nii.gz dice=0.4523
[2026-04-16 12:33:01,147][Train_Process.py] P144_lower_img.nii.gz dice=0.5526
[2026-04-16 12:33:15,186][Train_Process.py] P145_lower_img.nii.gz dice=0.4135
[2026-04-16 12:33:29,209][Train_Process.py] P146_lower_img.nii.gz dice=0.6095
[2026-04-16 12:33:33,101][Train_Process.py] P147_lower_img.nii.gz dice=0.1629
[2026-04-16 12:33:48,219][Train_Process.py] P148_lower_img.nii.gz dice=0.5678
[2026-04-16 12:33:55,300][Train_Process.py] P149_lower_img.nii.gz dice=0.3434
[2026-04-16 12:34:03,162][Train_Process.py] P150_lower_img.nii.gz dice=0.3955
[2026-04-16 12:34:10,639][Train_Process.py] P151_lower_img.nii.gz dice=0.4502
[2026-04-16 12:34:18,789][Train_Process.py] P152_lower_img.nii.gz dice=0.6168
[2026-04-16 12:34:22,399][Train_Process.py] P153_lower_img.nii.gz dice=0.4034
[2026-04-16 12:34:26,182][Train_Process.py] P154_lower_img.nii.gz dice=0.2222
[2026-04-16 12:34:39,663][Train_Process.py] P155_lower_img.nii.gz dice=0.5308
[2026-04-16 12:34:53,467][Train_Process.py] P156_lower_img.nii.gz dice=0.6470
[2026-04-16 12:35:09,610][Train_Process.py] P157_lower_img.nii.gz dice=0.4860
[2026-04-16 12:35:15,456][Train_Process.py] P158_lower_img.nii.gz dice=0.3948
[2026-04-16 12:35:19,408][Train_Process.py] P159_lower_img.nii.gz dice=0.1474
[2026-04-16 12:35:27,408][Train_Process.py] P160_lower_img.nii.gz dice=0.2703
[2026-04-16 12:35:34,540][Train_Process.py] P161_lower_img.nii.gz dice=0.3153
[2026-04-16 12:35:41,686][Train_Process.py] P162_lower_img.nii.gz dice=0.2735
[2026-04-16 12:35:49,416][Train_Process.py] P163_lower_img.nii.gz dice=0.5489
[2026-04-16 12:35:56,856][Train_Process.py] P164_lower_img.nii.gz dice=0.3886
[2026-04-16 12:36:03,365][Train_Process.py] P165_lower_img.nii.gz dice=0.3232
[2026-04-16 12:36:17,206][Train_Process.py] P166_lower_img.nii.gz dice=0.6098
[2026-04-16 12:36:24,914][Train_Process.py] P167_lower_img.nii.gz dice=0.3273
[2026-04-16 12:36:35,123][Train_Process.py] P168_lower_img.nii.gz dice=0.4721
[2026-04-16 12:36:41,837][Train_Process.py] P169_lower_img.nii.gz dice=0.3981
[2026-04-16 12:36:50,020][Train_Process.py] P170_lower_img.nii.gz dice=0.4008
[2026-04-16 12:36:53,526][Train_Process.py] P171_lower_img.nii.gz dice=0.3634
[2026-04-16 12:37:01,321][Train_Process.py] P172_lower_img.nii.gz dice=0.2223
[2026-04-16 12:37:01,352][Train_Process.py] dice_mean=0.3965 
[2026-04-16 12:37:01,352][Train_Process.py] finish Predict!
