[2026-04-16 19:32:57,367][Train_Process.py] start Predict!
[2026-04-16 22:21:09,646][Train_Process.py] P135_lower_img.nii.gz dice=0.1425
[2026-04-16 22:21:12,229][Train_Process.py] P136_lower_img.nii.gz dice=0.1440
[2026-04-16 22:21:18,368][Train_Process.py] P137_lower_img.nii.gz dice=0.2879
[2026-04-16 22:21:21,921][Train_Process.py] P138_lower_img.nii.gz dice=0.3171
[2026-04-16 22:21:27,360][Train_Process.py] P139_lower_img.nii.gz dice=0.2053
[2026-04-16 22:21:32,492][Train_Process.py] P140_lower_img.nii.gz dice=0.2632
[2026-04-16 22:21:43,066][Train_Process.py] P141_lower_img.nii.gz dice=0.3335
[2026-04-16 22:21:47,193][Train_Process.py] P142_lower_img.nii.gz dice=0.2630
[2026-04-16 22:21:52,309][Train_Process.py] P143_lower_img.nii.gz dice=0.2817
[2026-04-16 22:21:58,455][Train_Process.py] P144_lower_img.nii.gz dice=0.3815
[2026-04-16 22:22:08,245][Train_Process.py] P145_lower_img.nii.gz dice=0.3493
[2026-04-16 22:22:18,000][Train_Process.py] P146_lower_img.nii.gz dice=0.3537
[2026-04-16 22:22:20,735][Train_Process.py] P147_lower_img.nii.gz dice=0.1597
[2026-04-16 22:22:31,401][Train_Process.py] P148_lower_img.nii.gz dice=0.3725
[2026-04-16 22:22:36,303][Train_Process.py] P149_lower_img.nii.gz dice=0.2958
[2026-04-16 22:22:41,922][Train_Process.py] P150_lower_img.nii.gz dice=0.4155
[2026-04-16 22:22:47,225][Train_Process.py] P151_lower_img.nii.gz dice=0.2907
[2026-04-16 22:22:52,844][Train_Process.py] P152_lower_img.nii.gz dice=0.3184
[2026-04-16 22:22:55,442][Train_Process.py] P153_lower_img.nii.gz dice=0.1948
[2026-04-16 22:22:58,121][Train_Process.py] P154_lower_img.nii.gz dice=0.1502
[2026-04-16 22:23:07,573][Train_Process.py] P155_lower_img.nii.gz dice=0.3808
[2026-04-16 22:23:17,090][Train_Process.py] P156_lower_img.nii.gz dice=0.4409
[2026-04-16 22:23:28,115][Train_Process.py] P157_lower_img.nii.gz dice=0.3409
[2026-04-16 22:23:32,121][Train_Process.py] P158_lower_img.nii.gz dice=0.2451
[2026-04-16 22:23:34,887][Train_Process.py] P159_lower_img.nii.gz dice=0.1155
[2026-04-16 22:23:40,532][Train_Process.py] P160_lower_img.nii.gz dice=0.3503
[2026-04-16 22:23:45,587][Train_Process.py] P161_lower_img.nii.gz dice=0.3916
[2026-04-16 22:23:50,777][Train_Process.py] P162_lower_img.nii.gz dice=0.3522
[2026-04-16 22:23:56,149][Train_Process.py] P163_lower_img.nii.gz dice=0.2968
[2026-04-16 22:24:01,401][Train_Process.py] P164_lower_img.nii.gz dice=0.3487
[2026-04-16 22:24:05,911][Train_Process.py] P165_lower_img.nii.gz dice=0.2846
[2026-04-16 22:24:15,669][Train_Process.py] P166_lower_img.nii.gz dice=0.5074
[2026-04-16 22:24:21,101][Train_Process.py] P167_lower_img.nii.gz dice=0.3263
[2026-04-16 22:24:28,333][Train_Process.py] P168_lower_img.nii.gz dice=0.3535
[2026-04-16 22:24:33,154][Train_Process.py] P169_lower_img.nii.gz dice=0.3041
[2026-04-16 22:24:38,899][Train_Process.py] P170_lower_img.nii.gz dice=0.2212
[2026-04-16 22:24:41,396][Train_Process.py] P171_lower_img.nii.gz dice=0.2310
[2026-04-16 22:24:47,028][Train_Process.py] P172_lower_img.nii.gz dice=0.3274
[2026-04-16 22:24:47,066][Train_Process.py] dice_mean=0.2984 
[2026-04-16 22:24:47,067][Train_Process.py] finish Predict!
