[2026-04-17 13:54:23,455][Train_Process.py] start Predict!
[2026-04-17 14:32:38,400][Train_Process.py] P135_lower_img.nii.gz dice=0.0015
[2026-04-17 14:32:45,217][Train_Process.py] P136_lower_img.nii.gz dice=0.0012
[2026-04-17 14:33:01,796][Train_Process.py] P137_lower_img.nii.gz dice=0.0012
[2026-04-17 14:33:11,280][Train_Process.py] P138_lower_img.nii.gz dice=0.0042
[2026-04-17 14:33:26,027][Train_Process.py] P139_lower_img.nii.gz dice=0.0012
[2026-04-17 14:33:39,955][Train_Process.py] P140_lower_img.nii.gz dice=0.0014
[2026-04-17 14:34:08,802][Train_Process.py] P141_lower_img.nii.gz dice=0.0013
[2026-04-17 14:34:19,935][Train_Process.py] P142_lower_img.nii.gz dice=0.0017
[2026-04-17 14:34:33,706][Train_Process.py] P143_lower_img.nii.gz dice=0.0017
[2026-04-17 14:34:50,632][Train_Process.py] P144_lower_img.nii.gz dice=0.0023
[2026-04-17 14:35:17,319][Train_Process.py] P145_lower_img.nii.gz dice=0.0017
[2026-04-17 14:35:44,068][Train_Process.py] P146_lower_img.nii.gz dice=0.0015
[2026-04-17 14:35:51,422][Train_Process.py] P147_lower_img.nii.gz dice=0.0017
[2026-04-17 14:36:20,821][Train_Process.py] P148_lower_img.nii.gz dice=0.0020
[2026-04-17 14:36:34,630][Train_Process.py] P149_lower_img.nii.gz dice=0.0022
[2026-04-17 14:36:49,921][Train_Process.py] P150_lower_img.nii.gz dice=0.0039
[2026-04-17 14:37:04,439][Train_Process.py] P151_lower_img.nii.gz dice=0.0020
[2026-04-17 14:37:19,793][Train_Process.py] P152_lower_img.nii.gz dice=0.0023
[2026-04-17 14:37:26,794][Train_Process.py] P153_lower_img.nii.gz dice=0.0020
[2026-04-17 14:37:34,105][Train_Process.py] P154_lower_img.nii.gz dice=0.0015
[2026-04-17 14:37:59,877][Train_Process.py] P155_lower_img.nii.gz dice=0.0022
[2026-04-17 14:38:25,959][Train_Process.py] P156_lower_img.nii.gz dice=0.0028
[2026-04-17 14:38:58,013][Train_Process.py] P157_lower_img.nii.gz dice=0.0016
[2026-04-17 14:39:08,839][Train_Process.py] P158_lower_img.nii.gz dice=0.0017
[2026-04-17 14:39:16,380][Train_Process.py] P159_lower_img.nii.gz dice=0.0010
[2026-04-17 14:39:32,230][Train_Process.py] P160_lower_img.nii.gz dice=0.0022
[2026-04-17 14:39:45,868][Train_Process.py] P161_lower_img.nii.gz dice=0.0025
[2026-04-17 14:39:59,647][Train_Process.py] P162_lower_img.nii.gz dice=0.0021
[2026-04-17 14:40:14,181][Train_Process.py] P163_lower_img.nii.gz dice=0.0021
[2026-04-17 14:40:28,334][Train_Process.py] P164_lower_img.nii.gz dice=0.0021
[2026-04-17 14:40:40,569][Train_Process.py] P165_lower_img.nii.gz dice=0.0020
[2026-04-17 14:41:07,046][Train_Process.py] P166_lower_img.nii.gz dice=0.0029
[2026-04-17 14:41:21,517][Train_Process.py] P167_lower_img.nii.gz dice=0.0022
[2026-04-17 14:41:41,002][Train_Process.py] P168_lower_img.nii.gz dice=0.0025
[2026-04-17 14:41:54,007][Train_Process.py] P169_lower_img.nii.gz dice=0.0026
[2026-04-17 14:42:09,443][Train_Process.py] P170_lower_img.nii.gz dice=0.0014
[2026-04-17 14:42:16,761][Train_Process.py] P171_lower_img.nii.gz dice=0.0025
[2026-04-17 14:42:32,050][Train_Process.py] P172_lower_img.nii.gz dice=0.0020
[2026-04-17 14:42:32,085][Train_Process.py] dice_mean=0.0020 
[2026-04-17 14:42:32,085][Train_Process.py] finish Predict!
